Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Transmission Pipelines,2021 Total reported direct emissions from Transmission Pipelines,2020 Total reported direct emissions from Transmission Pipelines,2019 Total reported direct emissions from Transmission Pipelines,2018 Total reported direct emissions from Transmission Pipelines,2017 Total reported direct emissions from Transmission Pipelines,2016 Total reported direct emissions from Transmission Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013059,110070716075,EGT Kansas,Kansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,,0.010488,,,37791.211618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014306,110070716075,EGT Louisiana,Louisiana,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,68344.724581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013062,110070716075,EGT Texas,Texas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,375.596656,21424.973696,,0.027382,138913.066218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013050,110071162102,EOIT Oklahoma,Oklahoma,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,7006.82863,6031.986132,29417.35836,10777.366013,49835.427794,37295.739545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Maryland,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,347.4118584,14.7366593,18.4116936,5813.2732055,3140.966538,11012.4951136,5261.7863285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),New York,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,9337.2861042,12420.2959807,13314.3353622,12759.2842035,37099.0823905,30794.4126303,29554.3332535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Ohio,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,1673.0098781,1265.6730478,3681.9265186,1.0415651,7710.9151501,9208.707063,56827.2632829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Pennsylvania,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,25576.5968788,51034.5565712,20589.7091404,27322.648862,88983.9911327,96861.7481846,68998.4165439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Virginia,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,168.402535,541.0695469,1288.9396676,347.306537,136.4872128,11770.621544,33575.6936083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110071162392,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),West Virginia,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,30848.1213174,38460.1971743,26431.8749203,25004.5836793,15082.0454394,30997.3175758,14331.4384206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012829,110056361930,Enbridge - Vector Transmission Pipeline Segment,Michigan,Houston,TX,77002,"1100 Louisiana Street, Suite 3300",HARRIS COUNTY,29.7574,-95.36843,486210,W-TRANS,,1141.9134,33.1280802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012699,110055594129,"Equitrans, LP - Transmission Pipeline",Ohio,Pittsburgh,PA,15222,"625 Liberty Avenue, Suite 1700",ALLEGHENY COUNTY,40.442188,-80.000854,486210,W-TRANS,,2.1200517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012699,110055594129,"Equitrans, LP - Transmission Pipeline",Pennsylvania,Pittsburgh,PA,15222,"625 Liberty Avenue, Suite 1700",ALLEGHENY COUNTY,40.442188,-80.000854,486210,W-TRANS,643.9748012,7801.8958968,4977.2924149,11854.7581032,4126.4554455,21280.1873886,38274.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012699,110055594129,"Equitrans, LP - Transmission Pipeline",West Virginia,Pittsburgh,PA,15222,"625 Liberty Avenue, Suite 1700",ALLEGHENY COUNTY,40.442188,-80.000854,486210,W-TRANS,182.0313035,2462.0927491,523.7627702,9724.4424187,3814.4479327,4551.8270462,9729.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Alabama,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,227.01,81.34,,7.76,47.55,6266.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Florida,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,,,,,,,651.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Louisiana,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,1155.08,3781.86,19431.14,19145.31,17749.2,37249.42,23166.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Mississippi,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,7564.22,14379.57,7896.85,1221.66,6895.44,12755.7,348.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Texas,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,3619.92,6574.32,5300.61,45960.71,1387.85,69986.89,68286.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013893,110070930997,MRT Louisiana,Arkansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,21.7488986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013893,110070930997,MRT Louisiana,Illinois,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,20519.7982555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013893,110070930997,MRT Louisiana,Louisiana,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,698.0784719,1216.687142,44859.948649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013893,110070930997,MRT Louisiana,Missouri,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,4060.79877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,MountainWest Pipeline - Transmission Pipelines (TPL),Colorado,Salt Lake City,UT,84111,333 South State Street,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,,970.574276,8.673994,61.571,435.754067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,MountainWest Pipeline - Transmission Pipelines (TPL),Utah,Salt Lake City,UT,84111,333 South State Street,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,,2272.129902,1898.691634,4783.587,32612.5430106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,MountainWest Pipeline - Transmission Pipelines (TPL),Wyoming,Salt Lake City,UT,84111,333 South State Street,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,,9455.109986,2400.1169661,226.585,8539.7963552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012255,110070082214,NIPSCO Gas Transmission Pipeline,Indiana,Merrillville,IN,46410,801 E. 86th Avenue,LAKE COUNTY,41.46339,-87.32624,486210,W-TRANS,,,,1155.5282687,426.5446586,491.5114345,35525.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Iowa,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,8829.19,41086.66,17285.93,35965.56,76358.34,19040.43,8187.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Kansas,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,9882.03,46964.29,44072.54,31443.01,36310.35,22728.05,54228.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Michigan,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,78.57,228.94,1442.36,50.65,1175.62,12.01,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Minnesota,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,5650.4,8953.25,11424.37,12906.37,6157.6,10339.7,12832.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
