Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,
All GHG data is presented in units of metric tons of carbon dioxide equivalent,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Quantity of CO2 Received for Injection,2021 Quantity of CO2 Received for Injection,2020 Quantity of CO2 Received for Injection,2019 Quantity of CO2 Received for Injection,2018 Quantity of CO2 Received for Injection,2017 Quantity of CO2 Received for Injection,2016 Quantity of CO2 Received for Injection,2015 Quantity of CO2 Received for Injection,2014 Quantity of CO2 Received for Injection,2013 Quantity of CO2 Received for Injection,2012 Quantity of CO2 Received for Injection,2011 Quantity of CO2 Received for Injection
1014619,110071397384,ELOB Section 36 EOR Facility,Baker,MT,59313,,FALLON COUNTY,46.3186,-104.154997,211120,UU,confidential,,,,,,,,,,,
1004924,110043784535,Elk Basin Gas Plant,POWELL,WY,82435,37 Country Road 1NG,PARK COUNTY,44.866702,-108.814934,211130,"C,NN-FRAC,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009956,,"Elk Operating Services, LLC 585 Paradox Basin",Denver,CO,80203,"1700 Lincoln St., Suite 2550",,39.742905,-104.98738,211120,"UU,W-ONSH",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012092,110071162399,Emma San Andres Field,Andrews County,TX,79714,,ANDREWS COUNTY,32.121352,-102.63604,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1008836,110013693538,Energen Resources Corporation 430 Permian Basin,Birmingham,AL,35203,"605 Richard Arrington, Jr. Blvd. North",JEFFERSON COUNTY,33.520058,-86.807637,211111,"UU,W-ONSH",,,,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009633,110061589990,Eucutta EOR Facility,Shubuta,MS,39360,31 Hess Camp Drive,WAYNE COUNTY,31.78154,-88.82722,211120,UU,confidential,confidential,confidential,confidential,confidential,,confidential,confidential,confidential,confidential,confidential,confidential
1007441,110071159283,Eunice Gas Plant,Eunice,NM,88231,,LEA COUNTY,32.42615,-103.148564,211130,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009718,110055517463,"Fasken Oil and Ranch, Ltd. 430 Permian Basin",Midland,TX,79707,6101 Holiday Hill Road,MIDLAND COUNTY,32.04663,-102.16955,211120,UU,,,,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012643,110071162311,GARLAND UNIT,CODY,WY,82414,,BIG HORN COUNTY,44.7953,-108.5459,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1012688,110071162013,GRASS CREEK FIELD,THERMOPOLIS,WY,82443,,HOT SPRINGS COUNTY,43.9588,-108.6635,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
