Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Gathering & Boosting ,2021 Total reported emissions from Gathering & Boosting ,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012154,110071161985,580 - San Juan Basin Gathering/Boosting,580 - San Juan Basin,DURANGO,CO,81301,1199 MAIN AVE SUITE 101,,37.3329035142137,-107.877740395536,211130,W-GB,280133.128,306405.402,295654.184,295182.282,289504.116,296458.094,302681.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012251,110070082212,ALLP Greenriver Basin,535 - Green River Basin,Denver,CO,80202,1801 California Street Suite 1200,,39.747626408136,-104.989773387027,486210,W-GB,86648.314,116726.256,140333.81,238400.62,249598.018,207744.756,244379.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012248,110070082211,ALLP Uinta Basin,575 - Uinta Basin,Denver,CO,80202,1801 California St. Suite 1200,,39.747626408136,-104.989773387027,486210,W-GB,141835.006,107654.54,118770,124295.19,154761.892,145125.584,205637.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013405,,AMP Angelina - Basin 260 G&B,260 - East Texas Basin,Houston,TX,77002,600 Travis Suite 5500,,29.7605685060526,-95.3642162896019,211130,W-GB,,48245.53,92294.554,210780.1,32227.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013737,110070789270,APR - Basin 430 - Gathering & Boosting,430 - Permian Basin,Midland,TX,79701,"400 W. Illinois, Suite 970",MIDLAND COUNTY,31.99954,-102.07847,211130,W-GB,151896.664,151850.864,158495.59,159164.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012355,110001175530,Aera Energy Coastal G and B,740 - Coastal Basins,San Ardo,CA,93450,66893 Sargent Road,MONTEREY COUNTY,35.954969,-120.864089,211120,W-GB,2481,2408.1,2815.798,2411.3,2364.8,3499.95,3616.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012357,110010420062,Aera Energy San Joaquin G and B,745 - San Joaquin Basin,Bakersfield,CA,93311,10000 Ming Avenue,KERN COUNTY,35.33988,-119.11274,211120,W-GB,51562.614,58702.862,66424.72,64153.018,61412.994,68654.982,115805.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012439,110070082289,Aka Energy LLC Denver Basin Gathering & Boosting,540 - Denver Basin,Gilcrest,CO,80623,13472 Weld County Road,,40.2847036,-104.77616,486210,W-GB,,53188.372,61094.49,73869.134,68652.464,64640.48,64371.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013096,110070225665,"Alliance Petroleum Corporation, Gathering and Boosting Assets 160A",160A - Appalachian Basin (Eastern Overthrust Area),Canton,OH,44718,4150 Belden Village St NW #410,STARK COUNTY,40.85524,-81.42614,213112,W-GB,,,,,,178765.618,147677.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013388,,Altus Gathering and Boosting,430 - Permian Basin,Midland,TX,79705,303 Veterans Airpark Lane Suite 2000,,32.0344907625549,-102.087996631866,211130,W-GB,395428.696993202,424635.204,634685.57,1203535.488,332743.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
