Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Onshore Oil & Gas Production ,2021 Total reported emissions from Onshore Oil & Gas Production ,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009265,110071162284,360 Anadarko Basin,360 - Anadarko Basin,Oklahoma City,OK,73142,"4700 Gaillardia Parkway, Ste. 200",,35.56719,-97.49827,211120,W-ONSH,147115.318,138425.53,124278.886,215964.304,253819.352,136681.234,311050.436,328260.992,258855.004,188100.356,206799.244,243416.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008558,110038073679,360 Anadarko Basin - BP America Production Company,360 - Anadarko Basin,Houston,TX,77079,501 Westlake Park Blvd,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,,,,45652.534,268661.65,85959.196,354092.668,361417.508,263876.522,250563.892,177947.85,210960.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008287,,360 Anadarko Basin DEC,360 - Anadarko Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,,35.466697,-97.51453,211120,W-ONSH,349859.078,211619.478,363346.28,408392.79,447672.782,406376.586,252802.366,353194.722,381235.414,357671.756,396990.192,392734.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009285,110011411891,360 Anadarko Basin QEP Energy Company,360 - Anadarko Basin,Tulsa,OK,74136,"6100 South Yale, Suite 900",,36.072617,-95.923102,211111,W-ONSH,,,,,,,,4871.198,7746.544,94746.284,184780.922,251716.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013331,,360 Anadarko Camino Production,360 - Anadarko Basin,Denver,CO,80202,1401 17th Street Suite 1000,,39.751641505472,-104.996642344698,211130,W-ONSH,100486.884,91392.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009281,,395 Williston Basin QEP Energy Company,395 - Williston Basin,Denver,CO,80265,"1050 17th Street, Suite 500",,39.74846,-104.99402,211120,W-ONSH,,,288651.938,334639.282,368280.778,349332.43,402104.536,547374.12,1062194.902,791734.17,226559.414,65451.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009276,,415 Strawn Basin BKV - Production,415 - Strawn Basin,FORT WORTH,TX,76106,4800 BLUE MOUND RD,,35.4711808,-97.516602,211120,W-ONSH,690921.018,134228.482,54645.812,54343.214,78816.522,221400.294,210443.35,188286.7,135593.948,204624.762,220281.886,280102.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008289,,420 Fort Worth Syncline BKV - Production,420 - Fort Worth Syncline,Bridgeport,TX,76426,1209 CR 1304,,35.466697,-97.51453,211120,W-ONSH,932179.978,1118048.404,428738.36,436885.218,441347.456,501431.448,494024.2,539760.19,499147.794,553615.534,731800.136,700990.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009270,110067652506,430 Permian Basin,430 - Permian Basin,Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,,,,209.35,25704.126,52767.932,104351.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008290,110014409684,430 Permian Basin DEC,430 - Permian Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,645555.338,470543.54,515395.332,735489.67,676403.48,269530.824,355198.684,1951072.342,1073197.732,508022.914,551620.576,292748.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
